,Penilai 1,Penilai 2
count,102.0,102.0
mean,6.166666666666667,6.431372549019608
std,2.5488624266458553,2.6118913291480164
min,0.0,0.0
25%,6.0,6.0
50%,6.0,7.0
75%,8.0,8.0
max,10.0,10.0
