model_name,pearson_cosine,spearman_cosine,pearson_euclidean,spearman_euclidean,pearson_manhattan,spearman_manhattan,pearson_dot,spearman_dot,pearson_max,spearman_max
mpi_1_cosine,0.82649071981303,0.790412971215602,0.8349626001636972,0.7904449484375138,0.835833948808525,0.7954333950557528,0.8036173863495584,0.749026451756269,0.835833948808525,0.7954333950557528
mpi_2_cosine,0.9507018120448288,0.8948805740895606,0.9444519688210055,0.8843341833506951,0.9464940171337508,0.8849365095459105,0.9625615315877933,0.9413165143471082,0.9625615315877933,0.9413165143471082
siscer_a1_cosine,0.7767944222939653,0.7257451503039445,0.7550161694718276,0.7158018594177912,0.7480283252503872,0.7074237161711249,0.7866000338286401,0.7386806352067645,0.7866000338286401,0.7386806352067645
siscer_b1_cosine,0.9295986678992216,0.801642239995666,0.9349473579975608,0.797168668219455,0.9339554845872,0.8034347861777714,0.9001012689965832,0.698952724798181,0.9349473579975608,0.8034347861777714
