iteration,loss
0,0.11147598922252655
2,0.08824843913316727
6,0.03709380328655243
9,0.009891056455671787
18,0.0033919350244104862
23,0.012371485121548176
28,0.025474315509200096
31,0.025319917127490044
34,0.018398970365524292
36,0.01121849101036787
37,0.007742017041891813
46,0.001991008874028921
48,0.001968580298125744
50,0.0021467774640768766
55,0.0018596624722704291
58,0.00153842952568084
62,0.0012532571563497186
64,0.0011351685971021652
78,0.0013542835367843509
79,0.001255967072211206
82,0.0009388095932081342
83,0.0008697648881934583
85,0.0007803153712302446
88,0.00072533602360636
91,0.0007518918137066066
92,0.0007385718054138124
104,0.0005052988417446613
111,0.0004745576879940927
117,0.0004163657140452415
118,0.0003929152153432369
119,0.00036009479663334787
120,0.00032832560827955604
123,0.00027457455871626735
125,0.00024233711883425713
128,0.0002101604623021558
129,0.00020209811918903142
134,0.00013591861352324486
135,0.0001290411310037598
137,0.000111620087409392
139,9.082263568416238e-05
142,7.390484097413719e-05
147,5.787253758171573e-05
148,4.95148851769045e-05
151,3.1220177334034815e-05
152,2.8101352654630318e-05
154,2.2548403649125248e-05
155,1.995159254875034e-05
157,1.611125117051415e-05
160,1.3676900380232837e-05
161,1.181614788947627e-05
162,9.143537681666203e-06
163,6.934337307029637e-06
169,5.3621574807039e-06
171,2.739878254942596e-06
172,2.257693722640397e-06
174,2.151604803657392e-06
175,1.8007175413004006e-06
180,3.899718194588786e-06
182,2.31262629313278e-06
186,6.957342861824145e-07
187,7.939556212477328e-07
194,3.516156539262738e-07
203,3.529384855482931e-07
204,2.1254123794278712e-07
210,1.0516425419382358e-07
211,1.6133837732468237e-07
215,8.411437590893911e-08
217,2.6221457005703996e-07
222,1.043098194486447e-07
223,5.975523009738026e-08
225,7.299767190716011e-08
232,4.157152133643649e-08
234,4.299326050727359e-08
235,4.258740560203478e-08
237,4.887563420652441e-08
239,6.366430227444653e-08
242,6.81888110420914e-08
244,6.322369472400169e-08
247,3.03074756402566e-08
251,2.860986469954696e-08
