,Penilai 1,Penilai 2
count,91.0,91.0
mean,5.714285714285714,6.032967032967033
std,2.1514114968019094,1.9405070898009535
min,0.0,0.0
25%,4.0,5.0
50%,6.0,6.0
75%,7.0,7.0
max,10.0,10.0
