,Penilai 1,Penilai 2
count,64.0,64.0
mean,72.96875,68.125
std,17.988504927419886,20.864262755186445
min,5.0,5.0
25%,65.0,60.0
50%,80.0,70.0
75%,85.0,85.0
max,90.0,95.0
